"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,0.0205336631587699,660,6405,236,0.0368462138953942,0.357575757575758,"GO:0006091","GO:BP","generation of precursor metabolites and energy",21625,1950,"GO:0008152"
"query_1",TRUE,0.0209760861350983,113,6405,51,0.00796252927400468,0.451327433628319,"GO:0031347","GO:BP","regulation of defense response",21625,7099,"GO:0006952,GO:0080134"
"query_1",TRUE,0.0266620851000873,23,6405,15,0.00234192037470726,0.652173913043478,"GO:0006098","GO:BP","pentose-phosphate shunt",21625,1954,"GO:0006740,GO:0051156"
"query_1",TRUE,0.0288500228798348,21,6405,14,0.00218579234972678,0.666666666666667,"GO:0010109","GO:BP","regulation of photosynthesis",21625,3901,"GO:0015979,GO:0019222"
"query_1",TRUE,0.0288500228798348,21,6405,14,0.00218579234972678,0.666666666666667,"GO:0000963","GO:BP","mitochondrial RNA processing",21625,269,"GO:0006396,GO:0140053"
"query_1",TRUE,0.0328863081049946,379,6405,142,0.0221701795472287,0.37467018469657,"GO:1901605","GO:BP","alpha-amino acid metabolic process",21625,21311,"GO:0006520,GO:0019752"
"query_1",TRUE,0.0328863081049946,17,6405,12,0.00187353629976581,0.705882352941177,"GO:1900140","GO:BP","regulation of seedling development",21625,20166,"GO:0048580,GO:0090351"
"query_1",TRUE,0.032925641882071,15,6405,11,0.00171740827478532,0.733333333333333,"GO:0010029","GO:BP","regulation of seed germination",21625,3825,"GO:0009845,GO:1900140"
"query_1",TRUE,0.032925641882071,15,6405,11,0.00171740827478532,0.733333333333333,"GO:0043467","GO:BP","regulation of generation of precursor metabolites and energy",21625,10618,"GO:0006091,GO:0019222"
"query_1",TRUE,0.0357987685504281,141,6405,60,0.00936768149882904,0.425531914893617,"GO:0015748","GO:BP","organophosphate ester transport",21625,4843,"GO:0006810"
"query_1",TRUE,0.0357987685504281,166,6405,69,0.0107728337236534,0.41566265060241,"GO:0015711","GO:BP","organic anion transport",21625,4807,"GO:0006810"
"query_1",TRUE,0.0357987685504281,138,6405,59,0.00921155347384856,0.427536231884058,"GO:0009658","GO:BP","chloroplast organization",21625,3559,"GO:0009657"
